"","ensembl_gene_id","row_num","gene_symbol","gene_type"
"151","ENSG00000006634",151,"DBF4","protein_coding"
"152","ENSG00000006638",152,"TBXA2R","protein_coding"
"153","ENSG00000006652",153,"IFRD1","protein_coding"
"154","ENSG00000006659",154,"LGALS14","protein_coding"
"155","ENSG00000006695",155,"COX10","protein_coding"
"156","ENSG00000006704",156,"GTF2IRD1","protein_coding"
"157","ENSG00000006712",157,"PAF1","protein_coding"
"158","ENSG00000006715",158,"VPS41","protein_coding"
"159","ENSG00000006740",159,"ARHGAP44","protein_coding"
"160","ENSG00000006744",160,"ELAC2","protein_coding"
"161","ENSG00000006747",161,"SCIN","protein_coding"
"162","ENSG00000006756",162,"ARSD","protein_coding"
"163","ENSG00000006757",163,"PNPLA4","protein_coding"
"164","ENSG00000006788",164,"MYH13","protein_coding"
"165","ENSG00000006831",165,"ADIPOR2","protein_coding"
"166","ENSG00000006837",166,"CDKL3","protein_coding"
"167","ENSG00000007001",167,"UPP2","protein_coding"
"168","ENSG00000007038",168,"PRSS21","protein_coding"
"169","ENSG00000007047",169,"MARK4","protein_coding"
"170","ENSG00000007062",170,"PROM1","protein_coding"
"171","ENSG00000007080",171,"CCDC124","protein_coding"
"172","ENSG00000007129",172,"CEACAM21","protein_coding"
"173","ENSG00000007168",173,"PAFAH1B1","protein_coding"
"174","ENSG00000007171",174,"NOS2","protein_coding"
"175","ENSG00000007174",175,"DNAH9","protein_coding"
"176","ENSG00000007202",176,"KIAA0100","protein_coding"
"177","ENSG00000007216",177,"SLC13A2","protein_coding"
"178","ENSG00000007237",178,"GAS7","protein_coding"
"179","ENSG00000007255",179,"TRAPPC6A","protein_coding"
"180","ENSG00000007264",180,"MATK","protein_coding"
"181","ENSG00000007306",181,"CEACAM7","protein_coding"
"182","ENSG00000007312",182,"CD79B","protein_coding"
"183","ENSG00000007314",183,"SCN4A","protein_coding"
"184","ENSG00000007341",184,"ST7L","protein_coding"
"185","ENSG00000007350",185,"TKTL1","protein_coding"
"186","ENSG00000007372",186,"PAX6","protein_coding"
"187","ENSG00000007376",187,"RPUSD1","protein_coding"
"188","ENSG00000007384",188,"RHBDF1","protein_coding"
"189","ENSG00000007392",189,"LUC7L","protein_coding"
"190","ENSG00000007402",190,"CACNA2D2","protein_coding"
"191","ENSG00000007516",191,"BAIAP3","protein_coding"
"192","ENSG00000007520",192,"C16orf42","protein_coding"
"193","ENSG00000007541",193,"PIGQ","protein_coding"
"194","ENSG00000007545",194,"CRAMP1L","protein_coding"
"195","ENSG00000007866",195,"TEAD3","protein_coding"
"196","ENSG00000007908",196,"SELE","protein_coding"
"197","ENSG00000007923",197,"DNAJC11","protein_coding"
"198","ENSG00000007933",198,"FMO3","protein_coding"
"199","ENSG00000007944",199,"MYLIP","protein_coding"
"200","ENSG00000007952",200,"NOX1","protein_coding"
"201","ENSG00000007968",201,"E2F2","protein_coding"
"202","ENSG00000008018",202,"PSMB1","protein_coding"
"203","ENSG00000008056",203,"SYN1","protein_coding"
"204","ENSG00000008083",204,"JARID2","protein_coding"
"205","ENSG00000008086",205,"CDKL5","protein_coding"
"206","ENSG00000008118",206,"CAMK1G","protein_coding"
"207","ENSG00000008128",207,"CDK11A","protein_coding"
"208","ENSG00000008130",208,"NADK","protein_coding"
"209","ENSG00000008196",209,"TFAP2B","protein_coding"
"210","ENSG00000008197",210,"TFAP2D","protein_coding"
"211","ENSG00000008226",211,"DLEC1","protein_coding"
"212","ENSG00000008256",212,"CYTH3","protein_coding"
"213","ENSG00000008277",213,"ADAM22","protein_coding"
"214","ENSG00000008282",214,"SYPL1","protein_coding"
"215","ENSG00000008283",215,"CYB561","protein_coding"
"216","ENSG00000008294",216,"SPAG9","protein_coding"
"217","ENSG00000008300",217,"CELSR3","protein_coding"
"218","ENSG00000008311",218,"AASS","protein_coding"
"219","ENSG00000008323",219,"PLEKHG6","protein_coding"
"220","ENSG00000008324",220,"SS18L2","protein_coding"
"221","ENSG00000008382",221,"MPND","protein_coding"
"222","ENSG00000008394",222,"MGST1","protein_coding"
"223","ENSG00000008405",223,"CRY1","protein_coding"
"224","ENSG00000008438",224,"PGLYRP1","protein_coding"
"225","ENSG00000008441",225,"NFIX","protein_coding"
"226","ENSG00000008513",226,"ST3GAL1","protein_coding"
"227","ENSG00000008516",227,"MMP25","protein_coding"
"228","ENSG00000008517",228,"IL32","protein_coding"
"229","ENSG00000008710",229,"PKD1","protein_coding"
"230","ENSG00000008735",230,"MAPK8IP2","protein_coding"
"231","ENSG00000008838",231,"MED24","protein_coding"
"232","ENSG00000008853",232,"RHOBTB2","protein_coding"
"233","ENSG00000008869",233,"HEATR5B","protein_coding"
"234","ENSG00000008952",234,"SEC62","protein_coding"
"235","ENSG00000008988",235,"RPS20","protein_coding"
"236","ENSG00000009307",236,"CSDE1","protein_coding"
"237","ENSG00000009335",237,"UBE3C","protein_coding"
"238","ENSG00000009413",238,"REV3L","protein_coding"
"239","ENSG00000009694",239,"ODZ1","protein_coding"
"240","ENSG00000009709",240,"PAX7","protein_coding"
"241","ENSG00000009724",241,"MASP2","protein_coding"
"242","ENSG00000009765",242,"IYD","protein_coding"
"243","ENSG00000009780",243,"FAM76A","protein_coding"
"244","ENSG00000009790",244,"TRAF3IP3","protein_coding"
"245","ENSG00000009830",245,"POMT2","protein_coding"
"246","ENSG00000009844",246,"VTA1","protein_coding"
"247","ENSG00000009950",247,"MLXIPL","protein_coding"
"248","ENSG00000009954",248,"BAZ1B","protein_coding"
"249","ENSG00000010017",249,"RANBP9","protein_coding"
"250","ENSG00000010030",250,"ETV7","protein_coding"
"251","ENSG00000010072",251,"C1orf124","protein_coding"
"252","ENSG00000010165",252,"METTL13","protein_coding"
"253","ENSG00000010219",253,"DYRK4","protein_coding"
"254","ENSG00000010244",254,"ZNF207","protein_coding"
"255","ENSG00000010256",255,"UQCRC1","protein_coding"
"256","ENSG00000010270",256,"STARD3NL","protein_coding"
"257","ENSG00000010278",257,"CD9","protein_coding"
"258","ENSG00000010282",258,"HHATL","protein_coding"
"259","ENSG00000010292",259,"NCAPD2","protein_coding"
"260","ENSG00000010295",260,"IFFO1","protein_coding"
"261","ENSG00000010310",261,"GIPR","protein_coding"
"262","ENSG00000010318",262,"PHF7","protein_coding"
"263","ENSG00000010319",263,"SEMA3G","protein_coding"
"264","ENSG00000010322",264,"NISCH","protein_coding"
"265","ENSG00000010327",265,"STAB1","protein_coding"
"266","ENSG00000010361",266,"FUZ","protein_coding"
"267","ENSG00000010379",267,"SLC6A13","protein_coding"
"268","ENSG00000010404",268,"IDS","protein_coding"
"269","ENSG00000010438",269,"PRSS3","protein_coding"
"270","ENSG00000010539",270,"ZNF200","protein_coding"
"271","ENSG00000010610",271,"CD4","protein_coding"
"272","ENSG00000010626",272,"LRRC23","protein_coding"
"273","ENSG00000010671",273,"BTK","protein_coding"
"274","ENSG00000010704",274,"HFE","protein_coding"
"275","ENSG00000010803",275,"SCMH1","protein_coding"
"276","ENSG00000010810",276,"FYN","protein_coding"
"277","ENSG00000010818",277,"HIVEP2","protein_coding"
"278","ENSG00000010932",278,"FMO1","protein_coding"
"279","ENSG00000011007",279,"TCEB3","protein_coding"
"280","ENSG00000011009",280,"LYPLA2","protein_coding"
"281","ENSG00000011021",281,"CLCN6","protein_coding"
"282","ENSG00000011028",282,"MRC2","protein_coding"
"283","ENSG00000011052",283,"NME2","protein_coding"
"284","ENSG00000011083",284,"SLC6A7","protein_coding"
"285","ENSG00000011105",285,"TSPAN9","protein_coding"
"286","ENSG00000011114",286,"BTBD7","protein_coding"
"287","ENSG00000011132",287,"APBA3","protein_coding"
"288","ENSG00000011143",288,"MKS1","protein_coding"
"289","ENSG00000011198",289,"ABHD5","protein_coding"
"290","ENSG00000011201",290,"KAL1","protein_coding"
"291","ENSG00000011243",291,"AKAP8L","protein_coding"
"292","ENSG00000011258",292,"MBTD1","protein_coding"
"293","ENSG00000011260",293,"UTP18","protein_coding"
"294","ENSG00000011275",294,"RNF216","protein_coding"
"295","ENSG00000011295",295,"TTC19","protein_coding"
"296","ENSG00000011304",296,"PTBP1","protein_coding"
"297","ENSG00000011332",297,"DPF1","protein_coding"
"298","ENSG00000011347",298,"SYT7","protein_coding"
"299","ENSG00000011376",299,"LARS2","protein_coding"
"300","ENSG00000011405",300,"PIK3C2A","protein_coding"
"301","ENSG00000011422",301,"PLAUR","protein_coding"
"302","ENSG00000011426",302,"ANLN","protein_coding"
"303","ENSG00000011451",303,"WIZ","protein_coding"
"304","ENSG00000011454",304,"RABGAP1","protein_coding"
"305","ENSG00000011465",305,"DCN","protein_coding"
"306","ENSG00000011478",306,"QPCTL","protein_coding"
"307","ENSG00000011485",307,"PPP5C","protein_coding"
"308","ENSG00000011523",308,"CEP68","protein_coding"
"309","ENSG00000011566",309,"MAP4K3","protein_coding"
"310","ENSG00000011590",310,"ZBTB32","protein_coding"
"311","ENSG00000011600",311,"TYROBP","protein_coding"
"312","ENSG00000011638",312,"TMEM159","protein_coding"
"313","ENSG00000011677",313,"GABRA3","protein_coding"
"314","ENSG00000012048",314,"BRCA1","protein_coding"
"315","ENSG00000012061",315,"ERCC1","protein_coding"
"316","ENSG00000012124",316,"CD22","protein_coding"
"317","ENSG00000012171",317,"SEMA3B","protein_coding"
"318","ENSG00000012174",318,"MBTPS2","protein_coding"
"319","ENSG00000012211",319,"PRICKLE3","protein_coding"
"320","ENSG00000012223",320,"LTF","protein_coding"
"321","ENSG00000012232",321,"EXTL3","protein_coding"
"322","ENSG00000012504",322,"NR1H4","protein_coding"
"323","ENSG00000012660",323,"ELOVL5","protein_coding"
"324","ENSG00000012779",324,"ALOX5","protein_coding"
"325","ENSG00000012817",325,"KDM5D","protein_coding"
"326","ENSG00000012822",326,"CALCOCO1","protein_coding"
"327","ENSG00000012963",327,"UBR7","protein_coding"
"328","ENSG00000012983",328,"MAP4K5","protein_coding"
"329","ENSG00000013016",329,"EHD3","protein_coding"
"330","ENSG00000013275",330,"PSMC4","protein_coding"
"331","ENSG00000013288",331,"MAN2B2","protein_coding"
"332","ENSG00000013293",332,"SLC7A14","protein_coding"
"333","ENSG00000013297",333,"CLDN11","protein_coding"
"334","ENSG00000013306",334,"SLC25A39","protein_coding"
"335","ENSG00000013364",335,"MVP","protein_coding"
"336","ENSG00000013374",336,"NUB1","protein_coding"
"337","ENSG00000013375",337,"PGM3","protein_coding"
"338","ENSG00000013392",338,"RWDD2A","protein_coding"
"339","ENSG00000013441",339,"CLK1","protein_coding"
"340","ENSG00000013503",340,"POLR3B","protein_coding"
"341","ENSG00000013523",341,"ANGEL1","protein_coding"
"342","ENSG00000013561",342,"RNF14","protein_coding"
"343","ENSG00000013563",343,"DNASE1L1","protein_coding"
"344","ENSG00000013573",344,"DDX11","protein_coding"
"345","ENSG00000013583",345,"HEBP1","protein_coding"
"346","ENSG00000013588",346,"GPRC5A","protein_coding"
"347","ENSG00000013619",347,"MAMLD1","protein_coding"
"348","ENSG00000013725",348,"CD6","protein_coding"
"349","ENSG00000013810",349,"TACC3","protein_coding"
"350","ENSG00000014123",350,"UFL1","protein_coding"
"351","ENSG00000014138",351,"POLA2","protein_coding"
"352","ENSG00000014164",352,"ZC3H3","protein_coding"
"353","ENSG00000014216",353,"CAPN1","protein_coding"
"354","ENSG00000014257",354,"ACPP","protein_coding"
"355","ENSG00000014641",355,"MDH1","protein_coding"
"356","ENSG00000014824",356,"SLC30A9","protein_coding"
"357","ENSG00000014914",357,"MTMR11","protein_coding"
"358","ENSG00000014919",358,"COX15","protein_coding"
"359","ENSG00000015133",359,"CCDC88C","protein_coding"
"360","ENSG00000015153",360,"YAF2","protein_coding"
"361","ENSG00000015171",361,"ZMYND11","protein_coding"
"362","ENSG00000015285",362,"WAS","protein_coding"
"363","ENSG00000015413",363,"DPEP1","protein_coding"
"364","ENSG00000015475",364,"BID","protein_coding"
"365","ENSG00000015479",365,"MATR3","protein_coding"
"366","ENSG00000015520",366,"NPC1L1","protein_coding"
"367","ENSG00000015532",367,"XYLT2","protein_coding"
"368","ENSG00000015568",368,"RGPD5","protein_coding"
"369","ENSG00000015592",369,"STMN4","protein_coding"
"370","ENSG00000015676",370,"NUDCD3","protein_coding"
"371","ENSG00000016082",371,"ISL1","protein_coding"
"372","ENSG00000016391",372,"CHDH","protein_coding"
"373","ENSG00000016402",373,"IL20RA","protein_coding"
"374","ENSG00000016490",374,"CLCA1","protein_coding"
"375","ENSG00000016602",375,"CLCA4","protein_coding"
"376","ENSG00000016864",376,"GLT8D1","protein_coding"
"377","ENSG00000017260",377,"ATP2C1","protein_coding"
"378","ENSG00000017373",378,"SRCIN1",NA
"379","ENSG00000017427",379,"IGF1","protein_coding"
"380","ENSG00000017483",380,"SLC38A5","protein_coding"
"381","ENSG00000017621",381,"MAGIX",NA
"382","ENSG00000017797",382,"RALBP1","protein_coding"
"383","ENSG00000018189",383,"RUFY3","protein_coding"
"384","ENSG00000018236",384,"CNTN1","protein_coding"
"385","ENSG00000018280",385,"SLC11A1","protein_coding"
"386","ENSG00000018408",386,"WWTR1","protein_coding"
"387","ENSG00000018510",387,"AGPS","protein_coding"
"388","ENSG00000018607",388,"ZNF806","unprocessed_pseudogene"
"389","ENSG00000018610",389,"CXorf56","protein_coding"
"390","ENSG00000018625",390,"ATP1A2","protein_coding"
"391","ENSG00000018699",391,"TTC27","protein_coding"
"392","ENSG00000018869",392,"ZNF582","protein_coding"
"393","ENSG00000019102",393,"VSIG2","protein_coding"
"394","ENSG00000019144",394,"PHLDB1","protein_coding"
"395","ENSG00000019169",395,"MARCO","protein_coding"
"396","ENSG00000019186",396,"CYP24A1","protein_coding"
"397","ENSG00000019485",397,"PRDM11","protein_coding"
"398","ENSG00000019505",398,"SYT13","protein_coding"
"399","ENSG00000019549",399,"SNAI2","protein_coding"
"400","ENSG00000019582",400,"CD74","protein_coding"
"401","ENSG00000019991",401,"HGF","protein_coding"
"402","ENSG00000019995",402,"ZRANB1","protein_coding"
"403","ENSG00000020129",403,"NCDN","protein_coding"
"404","ENSG00000020181",404,"GPR124","protein_coding"
"405","ENSG00000020219",405,"CCT8L1P","processed_pseudogene"
"406","ENSG00000020256",406,"ZFP64","protein_coding"
"407","ENSG00000020426",407,"MNAT1","protein_coding"
"408","ENSG00000020577",408,"SAMD4A","protein_coding"
"409","ENSG00000020633",409,"RUNX3","protein_coding"
"410","ENSG00000020922",410,"MRE11A","protein_coding"
"411","ENSG00000021300",411,"PLEKHB1","protein_coding"
"412","ENSG00000021355",412,"SERPINB1","protein_coding"
"413","ENSG00000021461",413,"CYP3A43","protein_coding"
"414","ENSG00000021488",414,"SLC7A9","protein_coding"
"415","ENSG00000021574",415,"SPAST","protein_coding"
"416","ENSG00000021645",416,"NRXN3","protein_coding"
"417","ENSG00000021762",417,"OSBPL5","protein_coding"
"418","ENSG00000021776",418,"AQR","protein_coding"
"419","ENSG00000021826",419,"CPS1","protein_coding"
"420","ENSG00000021852",420,"C8B","protein_coding"
"421","ENSG00000022267",421,"FHL1","protein_coding"
"422","ENSG00000022277",422,"C20orf43","protein_coding"
"423","ENSG00000022355",423,"GABRA1","protein_coding"
"424","ENSG00000022556",424,"NLRP2","protein_coding"
"425","ENSG00000022567",425,"SLC45A4","protein_coding"
"426","ENSG00000022840",426,"RNF10","protein_coding"
"427","ENSG00000022976",427,"ZNF839","protein_coding"
"428","ENSG00000023041",428,"ZDHHC6","protein_coding"
"429","ENSG00000023171",429,"GRAMD1B","protein_coding"
"430","ENSG00000023191",430,"RNH1","protein_coding"
"431","ENSG00000023228",431,"NDUFS1","protein_coding"
"432","ENSG00000023287",432,"RB1CC1","protein_coding"
"433","ENSG00000023318",433,"ERP44","protein_coding"
"434","ENSG00000023330",434,"ALAS1","protein_coding"
"435","ENSG00000023445",435,"BIRC3","protein_coding"
"436","ENSG00000023516",436,"AKAP11","protein_coding"
"437","ENSG00000023572",437,"GLRX2","protein_coding"
"438","ENSG00000023608",438,"SNAPC1","protein_coding"
"439","ENSG00000023697",439,"DERA","protein_coding"
"440","ENSG00000023734",440,"STRAP","protein_coding"
"441","ENSG00000023839",441,"ABCC2","protein_coding"
"442","ENSG00000023892",442,"DEF6","protein_coding"
"443","ENSG00000023902",443,"PLEKHO1","protein_coding"
"444","ENSG00000023909",444,"GCLM","protein_coding"
"445","ENSG00000024048",445,"UBR2","protein_coding"
"446","ENSG00000024422",446,"EHD2","protein_coding"
"447","ENSG00000024526",447,"DEPDC1","protein_coding"
"448","ENSG00000024862",448,"CCDC28A","protein_coding"
"449","ENSG00000025039",449,"RRAGD","protein_coding"
"450","ENSG00000025156",450,"HSF2","protein_coding"
"451","ENSG00000025293",451,"PHF20","protein_coding"
"452","ENSG00000025423",452,"HSD17B6","protein_coding"
"453","ENSG00000025434",453,"NR1H3","protein_coding"
"454","ENSG00000025708",454,"TYMP","protein_coding"
"455","ENSG00000025770",455,"NCAPH2","protein_coding"
"456","ENSG00000025772",456,"TOMM34","protein_coding"
"457","ENSG00000025796",457,"SEC63","protein_coding"
"458","ENSG00000025800",458,"KPNA6","protein_coding"
"459","ENSG00000026025",459,"VIM","protein_coding"
"460","ENSG00000026036",460,"RTEL1","protein_coding"
"461","ENSG00000026103",461,"FAS","protein_coding"
"462","ENSG00000026297",462,"RNASET2","protein_coding"
"463","ENSG00000026508",463,"CD44","protein_coding"
"464","ENSG00000026559",464,"KCNG1","protein_coding"
"465","ENSG00000026652",465,"AGPAT4","protein_coding"
"466","ENSG00000026751",466,"SLAMF7","protein_coding"
"467","ENSG00000026950",467,"BTN3A1","protein_coding"
"468","ENSG00000027001",468,"MIPEP","protein_coding"
"469","ENSG00000027075",469,"PRKCH","protein_coding"
"470","ENSG00000027644",470,"INSRR","protein_coding"
"471","ENSG00000027697",471,"IFNGR1","protein_coding"
"472","ENSG00000027847",472,"B4GALT7","protein_coding"
"473","ENSG00000027869",473,"SH2D2A","protein_coding"
"474","ENSG00000028116",474,"VRK2","protein_coding"
"475","ENSG00000028137",475,"TNFRSF1B","protein_coding"
"476","ENSG00000028203",476,"VEZT","protein_coding"
"477","ENSG00000028277",477,"POU2F2","protein_coding"
"478","ENSG00000028310",478,"BRD9","protein_coding"
"479","ENSG00000028528",479,"SNX1","protein_coding"
"480","ENSG00000028839",480,"TBPL1","protein_coding"
"481","ENSG00000029153",481,"ARNTL2","protein_coding"
"482","ENSG00000029363",482,"BCLAF1","protein_coding"
"483","ENSG00000029364",483,"SLC39A9","protein_coding"
"484","ENSG00000029534",484,"ANK1","protein_coding"
"485","ENSG00000029559",485,"IBSP","protein_coding"
"486","ENSG00000029639",486,"TFB1M","protein_coding"
"487","ENSG00000029725",487,"RABEP1","protein_coding"
"488","ENSG00000029993",488,"HMGB3","protein_coding"
"489","ENSG00000030066",489,"NUP160","protein_coding"
"490","ENSG00000030110",490,"BAK1","protein_coding"
"491","ENSG00000030304",491,"MUSK","protein_coding"
"492","ENSG00000030419",492,"IKZF2","protein_coding"
"493","ENSG00000030582",493,"GRN","protein_coding"
"494","ENSG00000031003",494,"FAM13B","protein_coding"
"495","ENSG00000031081",495,"ARHGAP31","protein_coding"
"496","ENSG00000031544",496,"NR2E3",NA
"497","ENSG00000031691",497,"CENPQ","protein_coding"
"498","ENSG00000031698",498,"SARS","protein_coding"
"499","ENSG00000031823",499,"RANBP3","protein_coding"
"500","ENSG00000032219",500,"ARID4A","protein_coding"
